2005-01-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.08, RSI ~N/A, Net Advances 182, McClellan N/A, Score: 0/39
2005-01-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.98, RSI ~N/A, Net Advances 175, McClellan N/A, Score: 0/39
2005-01-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.09, RSI ~N/A, Net Advances 170, McClellan N/A, Score: 0/39
2005-01-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.58, RSI ~N/A, Net Advances 172, McClellan N/A, Score: 0/39
2005-01-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.49, RSI ~N/A, Net Advances 169, McClellan N/A, Score: 0/39
2005-01-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.23, RSI ~N/A, Net Advances 173, McClellan N/A, Score: 0/39
2005-01-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.19, RSI ~N/A, Net Advances 170, McClellan N/A, Score: 0/39
2005-01-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.56, RSI ~N/A, Net Advances 170, McClellan N/A, Score: 0/39
2005-01-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.84, RSI ~N/A, Net Advances 168, McClellan N/A, Score: 0/39
2005-01-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.43, RSI ~N/A, Net Advances 173, McClellan N/A, Score: 0/39
2005-01-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.47, RSI ~N/A, Net Advances 179, McClellan N/A, Score: 0/39
2005-01-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.18, RSI ~N/A, Net Advances 175, McClellan N/A, Score: 0/39
2005-01-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.83, RSI ~N/A, Net Advances 170, McClellan N/A, Score: 0/39
2005-01-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.36, RSI ~N/A, Net Advances 169, McClellan N/A, Score: 0/39
2005-01-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.65, RSI ~N/A, Net Advances 165, McClellan N/A, Score: 0/39
2005-01-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.06, RSI ~N/A, Net Advances 165, McClellan N/A, Score: 0/39
2005-01-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.44, RSI ~N/A, Net Advances 170, McClellan N/A, Score: 0/39
2005-01-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.24, RSI ~N/A, Net Advances 172, McClellan N/A, Score: 0/39
2005-01-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.24, RSI ~N/A, Net Advances 171, McClellan N/A, Score: 0/39
2005-01-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.82, RSI ~N/A, Net Advances 178, McClellan N/A, Score: 0/39
2005-02-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.03, RSI ~N/A, Net Advances 183, McClellan N/A, Score: 0/39
2005-02-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.66, RSI ~N/A, Net Advances 186, McClellan N/A, Score: 0/39
2005-02-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.79, RSI ~N/A, Net Advances 185, McClellan N/A, Score: 0/39
2005-02-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.21, RSI ~N/A, Net Advances 192, McClellan N/A, Score: 0/39
2005-02-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.73, RSI ~N/A, Net Advances 192, McClellan N/A, Score: 0/39
2005-02-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.60, RSI ~N/A, Net Advances 193, McClellan N/A, Score: 0/39
2005-02-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.00, RSI ~N/A, Net Advances 188, McClellan N/A, Score: 0/39
2005-02-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.51, RSI ~N/A, Net Advances 190, McClellan N/A, Score: 0/39
2005-02-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.43, RSI ~N/A, Net Advances 195, McClellan N/A, Score: 0/39
2005-02-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.52, RSI ~N/A, Net Advances 196, McClellan N/A, Score: 0/39
2005-02-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.27, RSI ~N/A, Net Advances 197, McClellan N/A, Score: 0/39
2005-02-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.10, RSI ~N/A, Net Advances 197, McClellan N/A, Score: 0/39
2005-02-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.77, RSI ~N/A, Net Advances 192, McClellan N/A, Score: 0/39
2005-02-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.18, RSI ~N/A, Net Advances 190, McClellan N/A, Score: 0/39
2005-02-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.14, RSI ~N/A, Net Advances 182, McClellan N/A, Score: 0/39
2005-02-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.39, RSI ~N/A, Net Advances 186, McClellan N/A, Score: 0/39
2005-02-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.57, RSI ~N/A, Net Advances 190, McClellan N/A, Score: 0/39
2005-02-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.49, RSI ~N/A, Net Advances 197, McClellan N/A, Score: 0/39
2005-02-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.08, RSI ~N/A, Net Advances 195, McClellan N/A, Score: 0/39
2005-03-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.04, RSI ~N/A, Net Advances 199, McClellan N/A, Score: 0/39
2005-03-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.50, RSI ~N/A, Net Advances 198, McClellan N/A, Score: 0/39
2005-03-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.93, RSI ~N/A, Net Advances 199, McClellan N/A, Score: 0/39
2005-03-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.94, RSI ~N/A, Net Advances 206, McClellan N/A, Score: 0/39
2005-03-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.26, RSI ~N/A, Net Advances 206, McClellan N/A, Score: 0/39
2005-03-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.40, RSI ~N/A, Net Advances 203, McClellan N/A, Score: 0/39
2005-03-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.70, RSI ~N/A, Net Advances 195, McClellan N/A, Score: 0/39
