2005-01-03, Volatile Chop, 5d%: +nan%, MA20: +nan, RSI: nan, VIX: 14.08, ATR: nan, BBW: nan, Score: [0, -2, -1], Dist: 2.24
2005-01-04, Volatile Chop, 5d%: +nan%, MA20: +nan, RSI: nan, VIX: 13.98, ATR: nan, BBW: nan, Score: [0, -2, -1], Dist: 2.24
2005-01-05, Volatile Chop, 5d%: +nan%, MA20: +nan, RSI: nan, VIX: 14.09, ATR: nan, BBW: nan, Score: [0, -2, -1], Dist: 2.24
2005-01-06, Volatile Chop, 5d%: +nan%, MA20: +nan, RSI: nan, VIX: 13.58, ATR: nan, BBW: nan, Score: [0, -2, -1], Dist: 2.24
2005-01-07, Volatile Chop, 5d%: +nan%, MA20: +nan, RSI: nan, VIX: 13.49, ATR: nan, BBW: nan, Score: [0, -2, -1], Dist: 2.24
2005-01-10, Orderly Decline, 5d%: -0.98%, MA20: +nan, RSI: nan, VIX: 13.23, ATR: -0.0027, BBW: nan, Score: [-1, -2, 1], Dist: 1.41
2005-01-11, Orderly Decline, 5d%: -0.43%, MA20: +nan, RSI: nan, VIX: 13.19, ATR: 0.0006, BBW: nan, Score: [0, -2, 1], Dist: 2.24
2005-01-12, Orderly Decline, 5d%: +0.33%, MA20: +nan, RSI: nan, VIX: 12.56, ATR: 0.0001, BBW: nan, Score: [0, -2, 1], Dist: 2.24
2005-01-13, Orderly Decline, 5d%: -0.88%, MA20: +nan, RSI: nan, VIX: 12.84, ATR: -0.0003, BBW: nan, Score: [-1, -2, 1], Dist: 1.41
2005-01-14, Orderly Decline, 5d%: -0.14%, MA20: +nan, RSI: nan, VIX: 12.43, ATR: -0.0017, BBW: nan, Score: [0, -2, 1], Dist: 2.24
2005-01-18, Orderly Decline, 5d%: +0.48%, MA20: +nan, RSI: nan, VIX: 12.47, ATR: -0.0014, BBW: nan, Score: [0, -2, 1], Dist: 2.24
2005-01-19, Orderly Decline, 5d%: +0.14%, MA20: +nan, RSI: nan, VIX: 13.18, ATR: 0.0019, BBW: nan, Score: [0, -2, 1], Dist: 2.24
2005-01-20, Orderly Decline, 5d%: -1.03%, MA20: +nan, RSI: nan, VIX: 13.83, ATR: 0.0011, BBW: nan, Score: [-1, -2, 1], Dist: 1.41
2005-01-21, Orderly Decline, 5d%: -0.81%, MA20: +nan, RSI: 32.4, VIX: 14.36, ATR: -0.0003, BBW: nan, Score: [-1, -2, 1], Dist: 1.41
2005-01-24, Orderly Decline, 5d%: -1.75%, MA20: +nan, RSI: 31.1, VIX: 14.65, ATR: -0.0046, BBW: nan, Score: [-1, -2, 1], Dist: 1.41
2005-01-25, Orderly Decline, 5d%: -2.31%, MA20: +nan, RSI: 39.3, VIX: 14.06, ATR: -0.0070, BBW: nan, Score: [-2, -2, 1], Dist: 1.00
2005-01-26, Trend Pullback, 5d%: -0.89%, MA20: +nan, RSI: 44.8, VIX: 13.44, ATR: -0.0038, BBW: nan, Score: [-1, 0, 1], Dist: 1.41
2005-01-27, Trend Pullback, 5d%: -0.07%, MA20: +nan, RSI: 42.6, VIX: 13.24, ATR: -0.0002, BBW: nan, Score: [0, 0, 1], Dist: 1.73
2005-01-28, Trend Pullback, 5d%: +0.30%, MA20: +nan, RSI: 41.9, VIX: 13.24, ATR: 0.0020, BBW: nan, Score: [0, 0, 1], Dist: 1.73
