2005-01-03, Steady Climb, SP500: +nan%, RSI: nan, VIX: 14.08, ATR: nan, BBW: nan, PrevState: None, Score: 2
2005-01-04, Steady Climb, SP500: +nan%, RSI: nan, VIX: 13.98, ATR: nan, BBW: nan, PrevState: Steady Climb, Score: 2
2005-01-05, Steady Climb, SP500: +nan%, RSI: nan, VIX: 14.09, ATR: nan, BBW: nan, PrevState: Steady Climb, Score: 2
2005-01-06, Steady Climb, SP500: +nan%, RSI: nan, VIX: 13.58, ATR: nan, BBW: nan, PrevState: Steady Climb, Score: 2
2005-01-07, Steady Climb, SP500: +nan%, RSI: nan, VIX: 13.49, ATR: nan, BBW: nan, PrevState: Steady Climb, Score: 2
2005-01-10, Trend Pullback, SP500: -0.98%, RSI: nan, VIX: 13.23, ATR: -0.0027, BBW: nan, PrevState: Steady Climb, Score: 8
2005-01-11, Steady Climb, SP500: -0.43%, RSI: nan, VIX: 13.19, ATR: 0.0006, BBW: nan, PrevState: Trend Pullback, Score: 4
2005-01-12, Trend Pullback, SP500: +0.33%, RSI: nan, VIX: 12.56, ATR: 0.0001, BBW: nan, PrevState: Steady Climb, Score: 6
2005-01-13, Steady Climb, SP500: -0.88%, RSI: nan, VIX: 12.84, ATR: -0.0003, BBW: nan, PrevState: Trend Pullback, Score: 4
2005-01-14, Trend Pullback, SP500: -0.14%, RSI: nan, VIX: 12.43, ATR: -0.0017, BBW: nan, PrevState: Steady Climb, Score: 6
2005-01-18, Steady Climb, SP500: +0.48%, RSI: nan, VIX: 12.47, ATR: -0.0014, BBW: nan, PrevState: Trend Pullback, Score: 4
2005-01-19, Trend Pullback, SP500: +0.14%, RSI: nan, VIX: 13.18, ATR: 0.0019, BBW: nan, PrevState: Steady Climb, Score: 6
2005-01-20, Steady Climb, SP500: -1.03%, RSI: nan, VIX: 13.83, ATR: 0.0011, BBW: nan, PrevState: Trend Pullback, Score: 4
2005-01-21, Trend Pullback, SP500: -0.81%, RSI: 32.4, VIX: 14.36, ATR: -0.0003, BBW: nan, PrevState: Steady Climb, Score: 8
2005-01-24, Steady Climb, SP500: -1.75%, RSI: 31.1, VIX: 14.65, ATR: -0.0046, BBW: nan, PrevState: Trend Pullback, Score: 4
2005-01-25, Orderly Decline, SP500: -2.31%, RSI: 39.3, VIX: 14.06, ATR: -0.0070, BBW: nan, PrevState: Steady Climb, Score: 6
2005-01-26, Orderly Decline, SP500: -0.89%, RSI: 44.8, VIX: 13.44, ATR: -0.0038, BBW: nan, PrevState: Orderly Decline, Score: 6
2005-01-27, Steady Climb, SP500: -0.07%, RSI: 42.6, VIX: 13.24, ATR: -0.0002, BBW: nan, PrevState: Orderly Decline, Score: 4
2005-01-28, Trend Pullback, SP500: +0.30%, RSI: 41.9, VIX: 13.24, ATR: 0.0020, BBW: nan, PrevState: Steady Climb, Score: 6
2005-01-31, Steady Climb, SP500: +1.51%, RSI: 45.4, VIX: 12.82, ATR: 0.0018, BBW: 0.03, PrevState: Trend Pullback, Score: 10
2005-02-01, Steady Climb, SP500: +1.80%, RSI: 53.3, VIX: 12.03, ATR: 0.0019, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-02-02, Steady Climb, SP500: +1.63%, RSI: 52.8, VIX: 11.66, ATR: 0.0031, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-02-03, Steady Climb, SP500: +1.31%, RSI: 56.9, VIX: 11.79, ATR: 0.0047, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-02-04, Steady Climb, SP500: +2.70%, RSI: 59.6, VIX: 11.21, ATR: 0.0041, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-02-07, Steady Climb, SP500: +1.73%, RSI: 53.3, VIX: 11.73, ATR: 0.0037, BBW: 0.04, PrevState: Steady Climb, Score: 12
2005-02-08, Steady Climb, SP500: +1.08%, RSI: 61.8, VIX: 11.60, ATR: 0.0029, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-02-09, Steady Climb, SP500: -0.10%, RSI: 60.9, VIX: 12.00, ATR: 0.0025, BBW: 0.04, PrevState: Steady Climb, Score: 8
2005-02-10, Steady Climb, SP500: +0.60%, RSI: 69.8, VIX: 11.51, ATR: 0.0003, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-02-11, Trend Pullback, SP500: +0.19%, RSI: 76.7, VIX: 11.43, ATR: -0.0018, BBW: 0.04, PrevState: Steady Climb, Score: 8
2005-02-14, Steady Climb, SP500: +0.37%, RSI: 75.5, VIX: 11.52, ATR: 0.0002, BBW: 0.05, PrevState: Trend Pullback, Score: 6
2005-02-15, Steady Climb, SP500: +0.65%, RSI: 74.9, VIX: 11.27, ATR: 0.0017, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-02-16, Steady Climb, SP500: +1.54%, RSI: 74.9, VIX: 11.10, ATR: 0.0038, BBW: 0.05, PrevState: Steady Climb, Score: 10
2005-02-17, Steady Climb, SP500: +0.31%, RSI: 68.7, VIX: 11.77, ATR: 0.0026, BBW: 0.05, PrevState: Steady Climb, Score: 8
2005-02-18, Trend Pullback, SP500: -0.31%, RSI: 64.7, VIX: 11.18, ATR: -0.0004, BBW: 0.05, PrevState: Steady Climb, Score: 10
2005-02-22, Steady Climb, SP500: -1.82%, RSI: 46.7, VIX: 13.14, ATR: -0.0016, BBW: 0.04, PrevState: Trend Pullback, Score: 6
2005-02-23, Trend Pullback, SP500: -1.60%, RSI: 48.5, VIX: 12.39, ATR: -0.0051, BBW: 0.04, PrevState: Steady Climb, Score: 12
2005-02-24, Steady Climb, SP500: -0.84%, RSI: 55.9, VIX: 11.57, ATR: -0.0046, BBW: 0.04, PrevState: Trend Pullback, Score: 8
2005-02-25, Steady Climb, SP500: +0.88%, RSI: 54.9, VIX: 11.49, ATR: -0.0010, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-02-28, Trend Pullback, SP500: +0.17%, RSI: 51.0, VIX: 12.08, ATR: 0.0030, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-03-01, Steady Climb, SP500: +2.22%, RSI: 54.1, VIX: 12.04, ATR: 0.0049, BBW: 0.03, PrevState: Trend Pullback, Score: 12
2005-03-02, Steady Climb, SP500: +1.62%, RSI: 60.2, VIX: 12.50, ATR: 0.0035, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-03-03, Steady Climb, SP500: +0.86%, RSI: 58.0, VIX: 12.93, ATR: 0.0016, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-03-04, Steady Climb, SP500: +0.89%, RSI: 59.7, VIX: 11.94, ATR: 0.0004, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-03-07, Steady Climb, SP500: +1.80%, RSI: 60.7, VIX: 12.26, ATR: 0.0030, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-03-08, Steady Climb, SP500: +0.75%, RSI: 55.1, VIX: 12.40, ATR: 0.0034, BBW: 0.03, PrevState: Steady Climb, Score: 10
2005-03-09, Trend Pullback, SP500: -0.25%, RSI: 48.4, VIX: 12.70, ATR: 0.0028, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-03-10, Steady Climb, SP500: -0.10%, RSI: 54.4, VIX: 12.49, ATR: -0.0008, BBW: 0.03, PrevState: Trend Pullback, Score: 8
2005-03-11, Trend Pullback, SP500: -1.80%, RSI: 49.3, VIX: 12.80, ATR: -0.0037, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-03-14, Steady Climb, SP500: -1.51%, RSI: 62.1, VIX: 12.39, ATR: -0.0050, BBW: 0.03, PrevState: Trend Pullback, Score: 8
2005-03-15, Trend Pullback, SP500: -1.78%, RSI: 53.6, VIX: 13.15, ATR: -0.0027, BBW: 0.03, PrevState: Steady Climb, Score: 12
2005-03-16, Steady Climb, SP500: -1.57%, RSI: 43.7, VIX: 13.49, ATR: -0.0018, BBW: 0.04, PrevState: Trend Pullback, Score: 6
2005-03-17, Trend Pullback, SP500: -1.57%, RSI: 37.9, VIX: 13.29, ATR: -0.0038, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-03-18, Steady Climb, SP500: -0.87%, RSI: 41.3, VIX: 13.14, ATR: -0.0032, BBW: 0.04, PrevState: Trend Pullback, Score: 6
2005-03-21, Trend Pullback, SP500: -1.91%, RSI: 33.2, VIX: 13.61, ATR: -0.0035, BBW: 0.04, PrevState: Steady Climb, Score: 10
2005-03-22, Steady Climb, SP500: -2.17%, RSI: 28.9, VIX: 14.27, ATR: -0.0022, BBW: 0.05, PrevState: Trend Pullback, Score: 6
2005-03-23, Trend Pullback, SP500: -1.31%, RSI: 29.3, VIX: 14.06, ATR: -0.0033, BBW: 0.05, PrevState: Steady Climb, Score: 10
