date, state, direction, 5d%, MA20, RSI, VIX, ATR, BBW, Score, Dist
2005-01-03, Volatile Chop, 5, +nan, +nan, nan, 14.08, nan, nan, [0, -2, -1], 2.24
2005-01-04, Volatile Chop, 5, +nan, +nan, nan, 13.98, nan, nan, [0, -2, -1], 2.24
2005-01-05, Volatile Chop, 5, +nan, +nan, nan, 14.09, nan, nan, [0, -2, -1], 2.24
2005-01-06, Volatile Chop, 5, +nan, +nan, nan, 13.58, nan, nan, [0, -2, -1], 2.24
2005-01-07, Volatile Chop, 5, +nan, +nan, nan, 13.49, nan, nan, [0, -2, -1], 2.24
2005-01-10, Orderly Decline, 3, -0.98, +nan, nan, 13.23, -0.0027, nan, [-1, -2, 1], 1.41
2005-01-11, Orderly Decline, 3, -0.43, +nan, nan, 13.19, 0.0006, nan, [0, -2, 1], 2.24
2005-01-12, Orderly Decline, 3, +0.33, +nan, nan, 12.56, 0.0001, nan, [0, -2, 1], 2.24
2005-01-13, Orderly Decline, 3, -0.88, +nan, nan, 12.84, -0.0003, nan, [-1, -2, 1], 1.41
2005-01-14, Orderly Decline, 3, -0.14, +nan, nan, 12.43, -0.0017, nan, [0, -2, 1], 2.24
2005-01-18, Orderly Decline, 3, +0.48, +nan, nan, 12.47, -0.0014, nan, [0, -2, 1], 2.24
2005-01-19, Orderly Decline, 3, +0.14, +nan, nan, 13.18, 0.0019, nan, [0, -2, 1], 2.24
2005-01-20, Orderly Decline, 3, -1.03, +nan, nan, 13.83, 0.0011, nan, [-1, -2, 1], 1.41
2005-01-21, Orderly Decline, 3, -0.81, +nan, 32.4, 14.36, -0.0003, nan, [-1, -2, 1], 1.41
2005-01-24, Orderly Decline, 3, -1.75, +nan, 31.1, 14.65, -0.0046, nan, [-1, -2, 1], 1.41
2005-01-25, Orderly Decline, 3, -2.31, +nan, 39.3, 14.06, -0.0070, nan, [-2, -2, 1], 1.00
2005-01-26, Trend Pullback, 2, -0.89, +nan, 44.8, 13.44, -0.0038, nan, [-1, 0, 1], 1.41
2005-01-27, Trend Pullback, 2, -0.07, +nan, 42.6, 13.24, -0.0002, nan, [0, 0, 1], 1.73
